name,state,city,address,lattitude,longitude,type,ac_slow_price,ac_fast_price,dc_slow_price,dc_fast_price
Neelkanth Star DC Charging Station,Haryana,Gurugram,"Neelkanth Star Karnal, NH 44, Gharunda, Kutail, Haryana 132114 ",29.6019,76.9803,12.0,7.585275971133935,13.976549446234486,16.654845223795803,18.226082138944882
Galleria DC Charging Station,Haryana,Gurugram,"DLF Phase IV, Sector 28, Gurugram, Haryana 122022",28.4673,77.0818,12.0,9.641839230074279,11.132082207533445,16.871757968857395,20.465434965494747
Highway Xpress (Jaipur-Delhi) DC charging station,Rajasthan,Behror,"Jaipur to Delhi Road, Behror Midway, Behror, Rajasthan 301701",27.8751,76.276,12.0,7.0815401492084815,11.705014300979936,17.786357755007234,23.755276268670855
Food Carnival DC Charging Station,Uttar Pradesh,Khatauli,"Fun and Food Carnival, NH 58, Khatauli Bypass, Bhainsi, Uttar Pradesh 251201",29.3105,77.7218,12.0,9.41943050435474,13.087800649309198,16.085261940066573,20.8262605874001
Food Carnival AC Charging Station,Uttar Pradesh,Khatauli,"NH 58, Khatauli Bypass, Bhainsi, Uttar Pradesh 251201",29.3105,77.7218,12.0,9.123180560378547,14.363730542060598,15.18516985380831,20.62538862914905
Krishna Hansraj Hotel Una DC charging station ,Himachal Pradesh,Una,"Old Hoshiarpur Rd, Una, Himachal Pradesh 174303",31.4668,76.2568,12.0,8.853712284672701,14.923832089961952,17.48732964414213,21.02145352353767
SG Jabli DC Charging Station,Himachal Pradesh,Kasauli,"VPO - Jabli, NH-22, Teh, Kasauli, Himachal Pradesh",30.879,76.9948,12.0,8.681488260340648,12.083030457380069,17.8083479647804,19.136533813907146
SG Jabli  AC Charging Station,Himachal Pradesh,Kasauli,"VPO - Jabli, NH-22, Teh, Kasauli, Himachal Pradesh",30.879,76.9948,12.0,9.152316043658633,10.375765319735141,15.97467473183271,19.285399381969814
SG Karnal DC Charging Station,Haryana,Karnal,"131 km Milestone, G. T, GT Karnal Rd, near Karna Lake, Karnal, Haryana 132001",29.7379,76.9756,12.0,9.954817780557605,14.78740274232398,15.867192651231587,23.838505249922108
SG Karnal AC Charging Station,Haryana,Karnal,"131 km Milestone, G. T, GT Karnal Rd, near Karna Lake, Karnal, Haryana 132001",29.7379,76.9756,12.0,8.446144917054458,11.473394624643758,17.524581977736013,18.95015931929964
Neelkanth Star AC charging  station,Haryana,karnal,"Neelkanth Star Karnal, NH 44, Gharunda, Kutail, Haryana 132114 ",29.6019,76.9803,12.0,8.099703849872249,10.623227540472232,16.184876071547478,21.77757624643319
Deep Brothers IOCL AC Charging Station,Haryana,Darbaripur,"Deep Brothers, Palra Road, Darbaripur",28.3861,77.0063,12.0,7.771689502022628,13.876362083831312,15.08757278625222,19.517353369628587
Synergy Solutions AC Charging Station 2,Maharashtra,Pune,"Synergy Solutions, Shop No 9 , Modak Prasad, 410, Narayan Peth,Pune",18.538,73.8485,12.0,9.029999806659916,11.980729450633419,16.96147883104458,21.116343465352944
IOCL Rajokri Station,Delhi,New Delhi,"NH 8 Exit 4, Samalka, New Delhi, Delhi 110037",28.5248,77.101,12.0,8.626667637243653,12.124545932127393,16.380110996658562,22.20971797186776
VEEV A2B Kallar,Tamil Nadu,Mettupalayam,"A2B, Kallar Road, Mettupalayam, Tamil Nadu",11.3217,76.9163,12.0,8.60172734723241,14.320659058080693,17.36323974730424,21.14178767406142
VEEV Sathya Nursery,Tamil Nadu,Mettupalayam,"Kallar, Mettupalayam, Tamil Nadu",11.33,76.9027,12.0,8.273982736489245,11.492872130589712,15.242049006709847,23.514601783149335
IOCL Nehru Nagar Station,Delhi,New Delhi,"10-C, Nehru Nagar, Ring Rd, near Lajpat Nagar, New Delhi, Delhi 110065",28.5682,77.2531,12.0,9.690539579183996,11.82687456909918,17.442295518761632,23.01721299081714
IOCL Mathura Road,Delhi,New Delhi,"No A12, Mathura Rd, near Telephone Exchange, Friends Colony East, New Delhi, Delhi 110025",28.566,77.2664,12.0,7.169704219760754,14.216879004023237,15.563111878232796,22.523131371648336
IOCL Chahar AC Charging Station,Haryana,Gurugram,"Basai Rd, Vikas Nagar, Sector 9, Gurugram, Haryana 122018",28.456,77.001,12.0,9.70462477046522,10.204664760023196,17.0808221584294,21.454275528830973
Kothari Enterprises  AC1,Maharashtra,Khopoli,"Kothari Brothers, Laxminagar, Khopoli, Maharashtra 410203",18.7876,73.3475,12.0,8.641040157247176,13.350458408252273,17.510635732995645,20.22455153612858
Windlass River Valley AC Charging Station,Uttarakhand,Dehradun,"Windlass River Valley, Harrawala/Kuanwala, Haridwar Road, NH-72, Dehradun, Uttarakhand 248005",30.2482,78.0961,12.0,9.379983068341614,12.191671629814927,15.228264672248091,23.84355464918896
Mindra Polar International AC Station,Gujarat,Ahmedabad,"Rahul Tower, 4,Vraj Vihar -6 B/H, Prernatirth Derasar Rd, Satellite, Ahmedabad, Gujarat 380015",23.0158,72.5178,12.0,9.854664538416824,13.727104133029268,15.812281181690118,23.111846507872436
Lonavla Wax Museum DC Charging Station,Maharashtra,Lonavla,"69/1 near Lonavla College, opp. neeta volvo, Valvan, Lonavla, Maharashtra 410403 M-9766666469",18.763,73.4252,12.0,7.2793899436936025,11.236622025845914,16.364591137139733,19.31151079436087
Heritage City AC Charging Station,Haryana,Gurugram,"Heritage City 581-600 Flats, Heritage City, Sector 25, Gurugram, Haryana 122022",28.4823,77.0766,12.0,9.70254937938292,12.180630300911947,16.905991469299682,22.35847794233625
Hotel Fairmont Jaipur AC Station,Rajasthan,Kukas,"Hotel Fairmont Jaipur, Riico, 2, Jaipur Engineering College Rd, Kukas, Rajasthan 302028",27.0307,75.8899,12.0,7.353487406899476,11.848955078528553,17.474593434550297,22.26549032899694
The Westin Pushkar AC Charger,Rajasthan,Pushkar,"The Westin Pushkar Resort & Spa, Khasra No. 1242 1243, 1196/1726, Village Surajkund, Motisar Rd, Pushkar, Rajasthan 305022",26.4547,74.5046,12.0,8.510475811324682,13.928911358747952,16.56795220319467,21.5187444046799
WeWork Circle Demo,Haryana,Gurugram,"4th Floor, The Galaxy Hotel, Behind 32nd Milestone Off NH 8, Sector 15, Gurugram, Haryana 122001",28.4632,77.049,12.0,9.472954334913421,12.83822013302986,15.498004313474064,20.971606796322924
Karma Lakelands AC Charger,Haryana,Gurugram,"Karma Lakeland, NH-8, Sector 80, Gurugram, Haryana 122002",28.3639,76.9607,12.0,8.967620000399208,13.786413605594111,15.690124671607588,19.699850319856203
Statiq RnD Centre AC Charging Station,Haryana,Gurgaon,"Statiq RnD Centre, Plot 80A, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122017",28.4997,77.0839,12.0,7.02397781541653,14.017602386177613,16.318156187481115,18.65698121128983
JMD Gardens,Haryana,Gurugram,"Unnamed Road, Sector 33, Gurugram, Haryana 122018",28.4336,77.0349,12.0,8.758046494360334,11.725128263236378,17.722642663266,21.50158442752824
Mindra Crispy Culture AC Charging Station,Gujarat,Ahmedabad,"Narayan Nagar Society, Narayan Nagar, Ahmedabad, Gujarat 380007",22.9989,72.5594,12.0,9.435784473533985,10.816438091307585,17.420018989679114,22.533028071921418
IOCL Dhaula Kuan Charging Station,Delhi,New Delhi,"Ring Rd, opposite Gurudwara, Smriti Vatika, North West Moti Bagh, New Delhi, Delhi 110021",28.5874,77.1713,12.0,7.6623473077508795,10.12708275739059,15.785446197774668,21.894673415460307
Tellus Power DC Charging Station,Maharashtra,Pune,"AH47, Maharashtra 415406",17.0749,74.2227,12.0,9.066718669656144,10.16840854849961,15.04367810221359,19.75925127454672
RSTV Charging Hub Meerut,Uttar Pradesh,Meerut,"Meerut, Uttar Pradesh 250001",28.9955,77.7057,12.0,9.842916323064337,13.673703800163846,15.612146157124823,20.558315449512193
Synergy Solutions AC Charging Station 1,Maharashtra,Pune,"office 9. Modak Prasad ,Oppo Rastrabhasha Bhavan",18.5145,73.8489,12.0,8.939999451320697,14.311869376210403,17.05729034892751,22.91406548847265
